resort_name,name,location_type,latitude,longitude,elevation_feet,is_primary,notes,source_url
Alta Badia,Primary Base / Forecast Point,base,46.551,11.879,6049,true,"Official Dolomiti Superski Alta Badia/Arabba Cherz Plateau route lists lowest point 1,844 m and highest point 2,080 m; used as Alta Badia official elevation anchors pending ski-station metadata. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.dolomitisuperski.com/en/SuperSummer/Discover/Regions/Alta-Badia/Attivita-in-Alta-Badia/Hike-Galaxy-Alta-Badia~Passo-Incisa-e-Altopiano-del-Cherz_67135782~
Alta Ski Area,Base Weather,base,40.5895561,-111.63663700000001,8560,true,"Official Alta weather page reports Base weather at elevation 8,560 ft. Coordinates are the existing resort/base coordinate and approximate for the reported station.",https://www.alta.com/weather
Alyeska Resort,Primary Base / Forecast Point,base,60.96174,-149.09387,250,true,"Official Alyeska schedule/rates PDF lists base elevation 250 ft and summit elevation 3,939 ft; mountain-stat elevations, not exact weather-station coordinates. Coordinates remain existing approximate resort/base forecast-point coordinates until official station coordinates are sourced; do not treat latitude/longitude as surveyed to this elevation.",https://www.alyeskaresort.com/wp-content/uploads/2023/10/2024-schedule-rates.pdf
Andermatt-Sedrun-Disentis,Andermatt/Sedrun Base,base,46.6356,8.593,4738,true,"Base forecast point. Official/partner snow report context for SkiArena Andermatt-Sedrun-Disentis gives base 1,444 m and summit 2,600 m. Coordinates approximate for Andermatt/Nätschen access; not a published sensor coordinate.",https://www.esquiades.com/en/skiresort/ski-arena-andermatt-sedrun-disentis/
Annupuri,Primary Base / Forecast Point,base,42.8047045,140.68749309999998,984,true,"Official Niseko United page says Niseko United comprises four resorts on one mountain, Niseko Annupuri at 1,308 m; base altitude is kept as approximate 300 m lower-resort anchor pending resort-specific base/station data. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.niseko.ne.jp/en/niseko/
Arabba/Marmolada,Primary Base / Forecast Point,base,46.497,11.874,4751,true,"Official Dolomiti Superski Malga Ciapela - Ombretta Pass page for Arabba/Marmolada lists lowest point 1,448 m and highest point 2,699 m; used as official sector altitude anchors pending ski-station specific rows. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.dolomitisuperski.com/en/SuperSummer/Discover/Regions/3-Zinnen-Dolomites/Attivita/Hike-Galaxy-3Cime~Malga-Ciapela-Ombretta-Pass_57379891~
Arai Mountain Resort,Lotte Arai Base Elevation,base,36.99,138.18,1079,true,"SnowStash reports Lotte Arai base elevation 329 m; used as fallback because official Lotte/JNTO crawled pages identify the 1,429 m mountain/ski area but not base elevation. Coordinates are existing resort coordinates and approximate.",https://snowstash.com/japan/chubu/lotte-arai/snow-report
Arapahoe Basin,Primary Base / Forecast Point,base,39.631106,-105.874058,10520,true,"Official Arapahoe Basin press-kit PDF lists base elevation 10,520 ft and summit elevation 13,050 ft; mountain-stat elevations, not named weather stations. Coordinates remain existing approximate resort/base forecast-point coordinates until official station coordinates are sourced.",https://stgabasin.blob.core.windows.net/arapahoe/uploaded/pdfs/abasin%20press%20kit%20final%20small%201920%20winter.pdf
Aspen Highlands,Base / Forecast Point,base,39.1822,-106.8557,8040,true,"Official Aspen Snowmass mountain-stats PDF reports Aspen Highlands base elevation 8,040 ft; coordinate is existing base/forecast point and approximate.",https://www.aspensnowmass.com/-/media/aspen-snowmass/documents/pdfs/25-26/aspen-snowmass-mountain-stats.pdf
Aspen Highlands,Summit,summit,39.1822,-106.8557,12392,false,"Official Aspen Snowmass mountain-stats PDF reports Aspen Highlands summit elevation 12,392 ft; coordinate is approximate resort/high-mountain point pending official summit/station coordinates.",https://www.aspensnowmass.com/-/media/aspen-snowmass/documents/pdfs/25-26/aspen-snowmass-mountain-stats.pdf
Aspen Mountain,Base / Forecast Point,base,39.1869,-106.8186,7945,true,"Official Aspen Snowmass mountain-stats PDF reports Aspen Mountain base elevation 7,945 ft; coordinate is existing base/forecast point and approximate.",https://www.aspensnowmass.com/-/media/aspen-snowmass/documents/pdfs/25-26/aspen-snowmass-mountain-stats.pdf
Aspen Mountain,Summit,summit,39.1869,-106.8186,11262,false,"Official Aspen Snowmass mountain-stats PDF reports Aspen Mountain summit elevation 11,262 ft; coordinate is approximate resort/high-mountain point pending official summit/station coordinates.",https://www.aspensnowmass.com/-/media/aspen-snowmass/documents/pdfs/25-26/aspen-snowmass-mountain-stats.pdf
Attitash Mountain,Base / Forecast Point,base,44.0826,-71.2295,600,true,"Official Attitash mountain information reports base elevation 600 ft and highest elevation 2,350 ft. Primary base coordinate is approximate unless a later official station coordinate is added.",https://www.attitash.com/the-mountain/about-the-mountain/mountain-info.aspx
Attitash Mountain,Summit / Highest Elevation,summit,44.0826,-71.2295,2350,false,"Official Attitash mountain information reports base elevation 600 ft and highest elevation 2,350 ft. Coordinate approximates the resort area because the official source gives elevation but not exact station coordinates.",https://www.attitash.com/the-mountain/about-the-mountain/mountain-info.aspx
Banff Sunshine,Primary Base / Forecast Point,base,51.111841,-115.744665,5440,true,"SkiBig3 official Banff Sunshine resort page lists base elevation 5,440 ft and top elevation 8,943/8,954 ft; mountain-stat elevations, not named station coordinates. Coordinates remain existing approximate resort/base forecast-point coordinates until official station coordinates are sourced; do not treat latitude/longitude as surveyed to this elevation.",https://www.skibig3.com/ski/resorts/banff-sunshine/
Bear Mountain,Primary Base / Forecast Point,base,34.223238,-116.862169,7140,true,"Official Big Bear Mountain Resort trail-map page lists Bear Mountain base elevation 7,140 ft and peak elevation 8,805 ft; mountain-stat elevations, not named weather stations. Coordinates remain existing approximate resort/base forecast-point coordinates until official station coordinates are sourced.",https://www.bigbearmountainresort.com/mountain-information/trail-maps
Beaver Creek,Base / Forecast Point,base,39.6042,-106.5165,8100,true,"Official Beaver Creek mountain information reports base elevation 8,100 ft and highest elevation 11,440 ft. Primary coordinate is the existing resort/base forecast point and approximate.",https://www.beavercreek.com/The%20Mountain/About%20the%20Mountain/Mountain%20Info.aspx
Beaver Creek,Summit / Highest Elevation,summit,39.6042,-106.5165,11440,false,"Official Beaver Creek mountain information reports base elevation 8,100 ft and highest elevation 11,440 ft. Summit coordinate is approximate because the source provides elevation but not exact station coordinates.",https://www.beavercreek.com/The%20Mountain/About%20the%20Mountain/Mountain%20Info.aspx
Big Boulder,Base / Forecast Point,base,41.0508,-75.6008,1700,true,"Official Jack Frost Big Boulder mountain information reports Big Boulder base elevation 1,700 ft and highest elevation 2,175 ft. Primary base coordinate is approximate unless a later official station coordinate is added.",https://www.jfbb.com/the-mountain/about-the-mountain/mountain-info.aspx?id=5996
Big Boulder,Summit / Highest Elevation,summit,41.0508,-75.6008,2175,false,"Official Jack Frost Big Boulder mountain information reports Big Boulder base elevation 1,700 ft and highest elevation 2,175 ft. Coordinate approximates the resort area because the official source gives elevation but not exact station coordinates.",https://www.jfbb.com/the-mountain/about-the-mountain/mountain-info.aspx?id=5996
Big Sky Resort,Mountain Village Base / Forecast Point,base,45.2850,-111.4017,7500,true,"Official Big Sky mountain information and resort materials identify Mountain Village/base area around 7,500 ft; coordinate is existing resort/base forecast point and approximate.",https://www.bigskyresort.com/mountain-info
Big Sky Resort,Lone Peak Summit,summit,45.2840,-111.4010,11166,false,"Official/resort mountain information identifies Lone Peak summit around 11,166 ft; coordinate is approximate summit map point.",https://www.bigskyresort.com/mountain-info
Big Sky Resort,Lobo Weather Station,weather_station,45.2850,-111.4017,7552,false,"Official Big Sky snow-report FAQ lists Lobo as a ski-patrol-managed weather station, but the FAQ does not publish elevation; row captures station existence and approximate resort coordinate pending elevation source. Elevation is DEM-derived from Open-Meteo Elevation API at this row's latitude/longitude (2302 m / 7552 ft), not an official resort-reported station elevation; use as fallback until official base/mid/summit/snow-stake elevation is sourced. Original location/source reference: https://www.bigskyresort.com/current-conditions/snow-report-faqs.",https://api.open-meteo.com/v1/elevation?latitude=45.2850&longitude=-111.4017
Big Sky Resort,Lookout Ridge Weather Station,weather_station,45.2850,-111.4017,7552,false,"Official Big Sky snow-report FAQ lists Lookout Ridge as a ski-patrol-managed weather station, but the FAQ does not publish elevation; row captures station existence and approximate resort coordinate pending elevation source. Elevation is DEM-derived from Open-Meteo Elevation API at this row's latitude/longitude (2302 m / 7552 ft), not an official resort-reported station elevation; use as fallback until official base/mid/summit/snow-stake elevation is sourced. Original location/source reference: https://www.bigskyresort.com/current-conditions/snow-report-faqs.",https://api.open-meteo.com/v1/elevation?latitude=45.2850&longitude=-111.4017
Blackcomb Mountain,Blackcomb Base / Official Resort Base Elevation,base,50.08,-122.894,2214,true,"Official Whistler Blackcomb mountain-info page reports a resort base elevation of 2,214 ft. This row uses the existing Blackcomb resort coordinate as approximate because the page does not publish a separate surveyed Blackcomb base weather-station coordinate.",https://www.whistlerblackcomb.com/the-mountain/about-the-mountain/mountain-info.aspx
Blue Mountain,Primary Base / Mountain Report Reference,base,44.505843,-80.317558,771,true,"Official Blue Mountain mountain page links the resort conditions report, webcams, maps, and mountain stats. Elevation remains DEM-derived from the existing resort coordinate because official page reports a generic 720 ft terrain/elevation figure rather than base/summit station elevations.",https://www.bluemountain.ca/mountain
Blue Mountain Resort,Primary Base / Forecast Point,base,40.810667070811405,-75.52078311165438,461,true,"Official Blue Mountain Resort directions page says the resort has 1,543 ft elevation above sea level and 1,082 ft vertical drop; base entered as inferred 461 ft pending explicit official base/station metadata. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.skibluemt.com/directions/
Boston Mills,Primary Base / Forecast Point,base,41.2646,-81.5651,686,true,"Primary first-pass weather forecast point derived from the resort coordinate in data/resorts.csv. Coordinates were previously sourced from official pass/resort CMS records, official resort pages, or reliable map/geocoding references; treat as approximate unless a future row identifies a specific official base, snow stake, or weather station. Elevation is DEM-derived from Open-Meteo Elevation API at this row's latitude/longitude (209 m / 686 ft), not an official resort-reported station elevation; use as fallback until official base/mid/summit/snow-stake elevation is sourced. Original location/source reference: https://www.bmbw.com/.",https://api.open-meteo.com/v1/elevation?latitude=41.2646&longitude=-81.5651
Boyne Mountain,Primary Base / Mountain Report Reference,base,45.162884,-84.93006700000001,712,true,"Official Boyne Mountain report provides snow conditions, lift status, and weather forecast. Elevation remains DEM-derived from existing resort coordinate because official crawlable text did not publish base elevation.",https://www.boynemountain.com/mountain-report
Brandywine,Primary Base / Forecast Point,base,41.264,-81.556,686,true,"Primary first-pass weather forecast point derived from the resort coordinate in data/resorts.csv. Coordinates were previously sourced from official pass/resort CMS records, official resort pages, or reliable map/geocoding references; treat as approximate unless a future row identifies a specific official base, snow stake, or weather station. Elevation is DEM-derived from Open-Meteo Elevation API at this row's latitude/longitude (209 m / 686 ft), not an official resort-reported station elevation; use as fallback until official base/mid/summit/snow-stake elevation is sourced. Original location/source reference: https://www.bmbw.com/.",https://api.open-meteo.com/v1/elevation?latitude=41.264&longitude=-81.556
Breckenridge,Main Base / Forecast Point,base,39.4806,-106.0660,9600,true,"Official Breckenridge mountain info reports base elevation 9,600 ft; coordinate is existing Peak 8/base forecast point and approximate.",https://www.breckenridge.com/the-mountain/about-the-mountain/mountain-info.aspx
Breckenridge,Peak Elevation / Summit,summit,39.4670,-106.0780,12998,false,"Official Breckenridge mountain info reports peak elevation 12,998 ft; coordinate is approximate high-mountain map point, not an official snow-stake coordinate.",https://www.breckenridge.com/the-mountain/about-the-mountain/mountain-info.aspx
Brides-les-Bains,Brides-les-Bains Village / Olympe Base,base,45.452,6.569,1969,true,Physical village/base access point for Brides-les-Bains and the Olympe gondola connection into Les 3 Vallées. Elevation is approximate village elevation; no separate snow station was found for Brides itself.,https://www.brides-les-bains.com/hiver/en/skiing/les-3-vallees-ski-area/
Brighton,Primary Base / Forecast Point,base,40.598166,-111.5829,8755,true,"Official Brighton Resort about page lists base elevation 8,755 ft and top elevation 10,500 ft; mountain-stat elevations, not named weather stations. Coordinates remain existing approximate resort/base forecast-point coordinates until official station coordinates are sourced.",https://www.brightonresort.com/about
Buttermilk,Base / Forecast Point,base,39.2053,-106.8603,7870,true,"Official Aspen Snowmass mountain-stats PDF reports Buttermilk base elevation 7,870 ft; coordinate is existing base/forecast point and approximate.",https://www.aspensnowmass.com/-/media/aspen-snowmass/documents/pdfs/25-26/aspen-snowmass-mountain-stats.pdf
Buttermilk,Summit,summit,39.2053,-106.8603,9900,false,"Official Aspen Snowmass mountain-stats PDF reports Buttermilk summit elevation 9,900 ft; coordinate is approximate resort/high-mountain point pending official summit/station coordinates.",https://www.aspensnowmass.com/-/media/aspen-snowmass/documents/pdfs/25-26/aspen-snowmass-mountain-stats.pdf
Camelback Resort,Primary Base / Official Snow Report Reference,base,41.051389,-75.355278,1381,true,Official Camelback Resort snow report/conditions page provides resort weather and live-cam access. Elevation remains DEM-derived from existing resort coordinate because the official page did not expose base elevation.,https://www.camelbackresort.com/snow-report-conditions
Cervino Ski Paradise,Base / Minimum Ski-Area Elevation,base,45.9340,7.6296,6726,true,"Official Cervinia/Cervino event page describes a descent from Plateau Rosa to Breuil-Cervinia at 2,050 m; primary forecast point uses Breuil-Cervinia altitude. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced. Reclassified from generic forecast_point to base because the row uses the official minimum/base ski-area elevation.",https://www.cervinia.it/en/eventi/cervinia-snow-bike-2024
Chamonix Mont-Blanc Valley,Primary Base / Forecast Point,base,45.92328,6.868141,3396,true,"Official Chamonix valley guide lists Brévent/Flégère at 1,095-2,525 m and Grands Montets at 1,235-3,275 m; primary uses the lower Brévent/Flégère ski-area altitude as a valley ski-area elevation anchor, not a named station. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.experiencechamonix.com/wp-content/uploads/guide_2025_web.pdf
Civetta,Primary Base / Forecast Point,base,46.37836,12.04852,4744,true,"Official Dolomiti Superski Civetta route page lists lowest point 1,446 m and highest point 1,632 m for Ronch monolith route; used as official Civetta sector elevation anchors pending ski-area station rows. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.dolomitisuperski.com/en/SuperSummer/Discover/Regions/Civetta/Attivita/Hike-Galaxy-in-Civetta~I-monoliti-di-Ronch_57379597~
Copper Mountain,Primary Base / Forecast Point,base,39.502141,-106.15099520000001,9712,true,"Official Copper Mountain winter mountain-stats page lists base elevation 9,712 ft and summit elevation 12,441 ft; mountain-stat elevations, not named weather stations. Coordinates remain existing approximate resort/base forecast-point coordinates until official station coordinates are sourced.",https://www.coppercolorado.com/the-mountain/mountain-safety-stats/winter-mountain-stats/
Coronet Peak,Primary Base / Forecast Point,base,-44.920557,168.737523,3894,true,"Official NZSki trade/media page lists Coronet Peak elevation 1,649 m and vertical drop 462 m; base entered as inferred 1,187 m / 3,894 ft from official elevation minus vertical drop. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.skiqueenstown.com/trade-and-media/
Cortina d’Ampezzo,Primary Base / Forecast Point,base,46.539,12.137,7162,true,"Official Dolomiti Superski Sass de Stria route for Arabba/Marmolada and Cortina lists lowest point 2,183 m and highest point 2,485 m; used as official high-pass sector anchors pending Cortina ski-area station metadata. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.dolomitisuperski.com/en/outdoor~Escursione-al-Sass-de-Stria_805072633~
Courchevel,Primary Base / Forecast Point,base,45.415,6.634,6069,true,Official Courchevel villages page describes Courchevel 1850 and access to La Saulire; primary uses Courchevel 1850 village altitude as official base/resort anchor. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.,https://courchevel.com/en/une-station-6-villages
Courmayeur Mont Blanc,Base / Minimum Ski-Area Elevation,base,45.7963,6.9689,4016,true,"Official Courmayeur Mountain Stats 2024-2025 PDF lists Courmayeur altitude 1,224 m; primary forecast point uses that official town/base altitude. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced. Reclassified from generic forecast_point to base because the row uses the official minimum/base ski-area elevation.",https://www.courmayeur-montblanc.com/app/uploads/2024/10/Mountain-stats-2024-2025.pdf
Crans-Montana,Crans-Montana Base / Plateau,base,46.3119,7.4828,4921,true,"Official Crans-Montana ski page reports ski area altitude from 1,500 m to 3,000 m; coordinates approximate for resort plateau/base.",https://www.crans-montana.ch/en/ski
Crested Butte,Base / Forecast Point,base,38.8987,-106.965,9375,true,"Official Vail Resorts newsroom press kit reports Crested Butte base elevation 9,375 ft and summit elevation 12,162 ft. Primary coordinate is the existing resort/base forecast point and approximate.",https://news.vailresorts.com/press-kit?item=30059
Crested Butte,Summit / Highest Elevation,summit,38.8987,-106.9650,12162,false,"Official Vail Resorts newsroom press kit reports Crested Butte base elevation 9,375 ft and summit elevation 12,162 ft. Summit coordinate is approximate because the source provides elevation but not exact station coordinates.",https://news.vailresorts.com/press-kit?item=30059
Crotched Mountain,Base / Forecast Point,base,42.9982,-71.8781,1050,true,"Official Crotched Mountain mountain information reports base elevation 1,050 ft and highest elevation 2,066 ft. Primary base coordinate is approximate unless a later official station coordinate is added.",https://www.crotchedmtn.com/the-mountain/about-the-mountain/mountain-info.aspx
Crotched Mountain,Summit / Highest Elevation,summit,42.9982,-71.8781,2066,false,"Official Crotched Mountain mountain information reports base elevation 1,050 ft and highest elevation 2,066 ft. Coordinate approximates the resort area because the official source gives elevation but not exact station coordinates.",https://www.crotchedmtn.com/the-mountain/about-the-mountain/mountain-info.aspx
Crystal Mountain Resort,Primary Base / Forecast Point,base,46.94772,-121.473,4400,true,"Official Crystal Mountain stats page lists base elevation 4,400 ft, Lower Northway 3,912 ft, gondola summit 6,872 ft, and Silver King 7,012 ft; mountain/lift-stat elevations, not named weather stations. Coordinates remain existing approximate resort/base forecast-point coordinates until official station coordinates are sourced.",https://www.crystalmountainresort.com/media/mountain-stats-and-facts
Cypress Mountain,Primary Base / Forecast Point,base,49.396,-123.20463139999998,3000,true,"Official Cypress Mountain trail maps/stats page lists Cypress Creek Lodge at 915 m / 3,000 ft and Mt Strachan at 1,440 m / 4,720 ft; primary base/lodge uses Cypress Creek Lodge elevation. Coordinates remain existing approximate resort/base forecast-point coordinates unless an official station coordinate is later sourced.",https://www.cypressmountain.com/trail-maps-and-stats
Deer Valley Resort,Base / Forecast Point,base,40.6374,-111.4783,6530,true,"Official Deer Valley mountain page reports base elevation 6,530 ft; coordinate is existing Snow Park/base forecast point and approximate.",https://www.deervalley.com/explore-the-mountain
Deer Valley Resort,Summit,summit,40.6200,-111.4900,9570,false,"Official Deer Valley mountain page reports summit elevation 9,570 ft; coordinate is approximate high-mountain map point.",https://www.deervalley.com/explore-the-mountain
Dollar Mountain,Dollar Mountain Base,base,43.69045,-114.34599,6010,true,"Official Sun Valley Dollar Mountain page reports base elevation of 6,010 ft. Coordinates are existing resort coordinates and approximate for the base area.",https://www.sunvalley.com/the-mountain/dollar-mountain/
Eldora Mountain Resort,Base Area / Snow Report Reference,base,39.9366134,-105.5884097,9200,true,"Eldora official pages expose snow report / conditions links but did not publish base elevation in crawlable text. Colorado.com reports base elevation of 9,200 ft; coordinates are the existing resort coordinate and approximate.",https://www.colorado.com/skiing-snowboarding/eldora-mountain-resort/
Falls Creek,Primary Base / Forecast Point,base,-36.8651,147.2777,3937,true,"Falls Creek Resort Management operations manual states the resort ranges from 1,200 m to 1,860 m above mean sea level; primary base uses the lower official resort-range elevation and should be superseded by a specific base/station elevation if found. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://corporate.fallscreek.com.au/wp-content/uploads/sites/55/2018/09/FCRM-Operations-Service-Level-Manual-Rev-3.0-4-Jun-2018.pdf
Fernie Alpine Resort,Primary Base / Forecast Point,base,49.4628,-115.0856,3450,true,"Official Fernie Alpine Resort mountain-stats page lists base elevation 3,450 ft and summit elevation 7,000 ft; mountain-stat elevations, not named station coordinates. Coordinates remain existing approximate resort/base forecast-point coordinates until official station coordinates are sourced; do not treat latitude/longitude as surveyed to this elevation.",https://skifernie.com/discover-fernie/mountain-stats/
Folgarida-Marilleva,Primary Base / Forecast Point,base,46.3,10.865,2789,true,"Official Campiglio Dolomiti page states the unified Skiarea Madonna di Campiglio spans 850-2,500 m across Madonna di Campiglio, Pinzolo, and Folgarida-Marilleva; primary uses lower official skiarea altitude because the row belongs to that interconnected physical resort network. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.campigliodolomiti.it/en/skiarea/inverno/skiarea-madonna-di-campiglio?landing=605
Furano Ski Resort,Primary Base / Forecast Point,base,43.19,142.19,771,true,"Official Prince Snow Resorts Furano page lists elevation Base 235 m, Peak 1,074 m, and vertical descent 839 m. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.princehotels.com/en/ski/furano/index.html?gad_source=1
Giant Ski Area,Base / Minimum Ski-Area Elevation,base,36.7245,138.5050,4364,true,Official Shiga Kogen Mountain Resort live-status/data page lists Giant Ski Area minimum altitude 1330 m and highest altitude 1590 m; primary uses minimum official course/ski-area altitude. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced. Reclassified from generic forecast_point to base because the row uses the official minimum/base ski-area elevation.,https://shigakogen-ski.or.jp/lift/giant/index-en.html
Grand Hirafu,Primary Base / Forecast Point,base,42.8047045,140.68749309999998,984,true,"Official Niseko United page says Niseko United comprises four resorts on one mountain, Niseko Annupuri at 1,308 m; base altitude is kept as approximate 300 m lower-resort anchor pending resort-specific base/station data. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.niseko.ne.jp/en/niseko/
Grandvalira Resorts Andorra,Grandvalira Lower Ski Area,base,42.53588,1.58938,5610,true,Primary group-level forecast point for Grandvalira; official weather/snow-report page covers sectors across Grandvalira. Base elevation is approximate/fallback for lower ski area because official page reports sector points rather than one station.,https://www.grandvalira.com/en/weather-forecast-grandvalira
Granite Peak Resort,Primary Base / Forecast Point,base,44.93,-89.7,1242,true,"Official Granite Peak trail map/mountain-stats page lists base area elevation 1,242 ft and top elevation 1,942 ft; mountain-stat elevations, not named weather stations. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.",https://www.skigranitepeak.com/mountain-info/trail-map-mountain-stats
Hakuba 47 Winter Sports Park,Primary Base / Forecast Point,base,36.691,137.832,2690,true,Official Hakuba Valley snow-resort info page lists course elevation lowest 820 m and highest 1614 m for Hakuba 47 Winter Sports Park; primary uses lowest official course elevation. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.,https://www.hakubavalley.com/en/ski_resort_info_en/
Hakuba Cortina Snow Resort,Primary Base / Forecast Point,base,36.794,137.895,2861,true,Official Hakuba Valley snow-resort info page lists course elevation lowest 872 m and highest 1402 m for Hakuba Cortina Snow Resort; primary uses lowest official course elevation. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.,https://www.hakubavalley.com/en/ski_resort_info_en/
Hakuba Happo-one Snow Resort,Primary Base / Forecast Point,base,36.702,137.835,2493,true,Official Hakuba Valley snow-resort info page lists course elevation lowest 760 m and highest 1831 m for Hakuba Happo-one Snow Resort; primary uses lowest official course elevation. Coordinates remain existing approximate resort/base forecast-point coordinates unless official point coordinates are later sourced.,https://www.hakubavalley.com/en/ski_resort_info_en/
