resort_name,resort_location_name,observed_at,base_depth_inches,upper_depth_inches,lower_depth_inches,new_snow_24h_inches,new_snow_48h_inches,new_snow_7d_inches,surface_condition,source_name,source_url,queried_at,notes
Fernie Alpine Resort,,2026-05-08,0,0,,,,,Resort Closed,Snow-Forecast Fernie snow report,https://www.snow-forecast.com/resorts/Fernie/snow-report,2026-05-26T05:05:00Z,Aggregator fallback; converted upper/lower 0 cm to 0 in. Official endpoint queried but no numeric values captured.
Loon Mountain,,2026-05-24,0,,,,,,,OpenSnow Loon snow report,https://opensnow.com/location/loonmountain/snow-report,2026-05-26T05:05:00Z,Aggregator fallback; result exposed 0 in base depth. Treat cautiously because OpenSnow may combine resort-reported and estimated snowfall.
Sun Valley,,2026-03-04,46,,,,,,,OnTheSnow Sun Valley snow report,https://www.onthesnow.com/united-states/sun-valley/skireport,2026-05-26T05:40:00Z,Aggregator fallback reported 46 in base depth for Sun Valley on Mar. 04. Location left blank because source does not distinguish Bald Mountain vs Dollar Mountain in captured text.
Taos Ski Valley,,2026-05-26,1,,,,,,,Taos Ski Valley official snow/mountain report,https://taosskivalley.com/weather-snow-report,2026-05-26T05:40:00Z,Official Taos search result exposed Snow Depth: 1 inches. Location left blank because captured text did not specify base/mid/summit measurement location.
Jackson Hole Mountain Resort,,2026-05-26,0,,,,,,Closed / summer operations,Jackson Hole official mountain report,https://www.jacksonhole.com/mountain-report,2026-05-26T03:50:01Z,"Official mountain report was in summer-operations context and did not expose a current ski-season base-depth number. Per project data policy, source-supported off-season/closed status is recorded as 0 inches; future refreshes should replace this with any explicit official snow-base number when winter reporting resumes."
Panorama,,2026-05-12,0,,,,,,Closed,Skiresort.info Panorama snow report,https://www.skiresort.info/ski-resort/panorama/snow-report/,2026-05-26T03:50:01Z,"Aggregator fallback reported the ski resort closed and exposed no numeric mountain/base snow depths. Per project data policy, source-supported closed status is recorded as 0 inches, with aggregator provenance retained in source_name/source_url."
Sunday River,,2026-05-25T05:30:00-04:00,20,,,0,0,0,Closed / 0 trails open,Sunday River official printed mountain report,https://mtnpowder.com/feed/printreport/sundayriver,2026-05-26T03:50:01Z,"Official current mountain report exposed 20 in snow depth, 0 in new snow, 0 open trails, and last updated Monday May 25, 2026 5:30 AM. Although the resort is closed/no trails open, the source-specific snow-base value is retained instead of overriding to 0."
Park City Mountain,,2026-05-26T07:00:00-06:00,0,,,0,,,Closed / no recent snow,Ski Utah Park City snow report,https://www.skiutah.com/members/parkcity/snowreport,2026-05-26T03:50:01Z,"Ski Utah member snow report exposed 0 in base, 0 in 24-hour snow, and latest update May 26 2026 7:00 AM. Treated as a current resort snow-report feed rather than the stale Skiresort.info value."
Perisher,,2026-05-26,0,,,,,,Pre-season / closed,Perisher official snow report,https://www.perisher.com.au/reports-cams/reports/snow-report,2026-05-26T03:50:01Z,"Official Perisher snow report stated the resort was in pre-season with lifts starting June 6, 2026, weather permitting. No current base-depth number was exposed, so source-supported pre-season/no-current-skiing status is recorded as 0 inches under the project policy."
Hakuba 47 Winter Sports Park,,2026-05-06T09:53:00+09:00,15.7,,,,,,Closed / end-of-season row,Hakuba Valley official weather and snow report,https://www.hakubavalley.com/en/weather_en/,2026-05-26T03:50:01Z,Official Hakuba Valley WEATHER & SNOW REPORT exposed snow depth 40 cm for this resort row; converted to 15.7 inches for normalized storage. End-of-season/closed status is retained in surface_condition/notes rather than inferred beyond the source row.
Hakuba Cortina Snow Resort,,2026-03-30T08:23:00+09:00,0,,,,,,Closed,Hakuba Valley official weather and snow report,https://www.hakubavalley.com/en/weather_en/,2026-05-26T03:50:01Z,Official Hakuba Valley WEATHER & SNOW REPORT exposed snow depth 0 cm for this resort row; converted to 0 inches for normalized storage. End-of-season/closed status is retained in surface_condition/notes rather than inferred beyond the source row.
Hakuba Norikura Onsen Snow Resort,,2026-03-31T10:03:00+09:00,0,,,,,,Closed,Hakuba Valley official weather and snow report,https://www.hakubavalley.com/en/weather_en/,2026-05-26T03:50:01Z,Official Hakuba Valley WEATHER & SNOW REPORT exposed snow depth 0 cm for this resort row; converted to 0 inches for normalized storage. End-of-season/closed status is retained in surface_condition/notes rather than inferred beyond the source row.
Jigatake Snow Resort,,2026-03-24T10:52:00+09:00,0,,,,,,Closed,Hakuba Valley official weather and snow report,https://www.hakubavalley.com/en/weather_en/,2026-05-26T03:50:01Z,Official Hakuba Valley WEATHER & SNOW REPORT exposed snow depth 0 cm for this resort row; converted to 0 inches for normalized storage. End-of-season/closed status is retained in surface_condition/notes rather than inferred beyond the source row.
Kashimayari Snow Resort,,2026-04-07T13:34:00+09:00,0,,,,,,Closed,Hakuba Valley official weather and snow report,https://www.hakubavalley.com/en/weather_en/,2026-05-26T03:50:01Z,Official Hakuba Valley WEATHER & SNOW REPORT exposed snow depth 0 cm for this resort row; converted to 0 inches for normalized storage. End-of-season/closed status is retained in surface_condition/notes rather than inferred beyond the source row.
Tsugaike Mountain Resort,,2026-05-06T11:20:00+09:00,7.5,,,,,,Closed / end-of-season row,Hakuba Valley official weather and snow report,https://www.hakubavalley.com/en/weather_en/,2026-05-26T03:50:01Z,Official Hakuba Valley WEATHER & SNOW REPORT exposed snow depth 19 cm for this resort row; converted to 7.5 inches for normalized storage. End-of-season/closed status is retained in surface_condition/notes rather than inferred beyond the source row.
White Resort Hakuba Sanosaka,,2026-03-24T11:21:00+09:00,0,,,,,,Closed,Hakuba Valley official weather and snow report,https://www.hakubavalley.com/en/weather_en/,2026-05-26T03:50:01Z,Official Hakuba Valley WEATHER & SNOW REPORT exposed snow depth 0 cm for this resort row; converted to 0 inches for normalized storage. End-of-season/closed status is retained in surface_condition/notes rather than inferred beyond the source row.
