resort_name,image_url,image_type,image_credit,image_source_url,source_notes
Grand Hirafu,https://www.niseko.ne.jp/en/wp-content/themes/niseko2019_p2/images/brand_grandhirafu_off.png,logo,Official source: niseko.ne.jp,https://www.niseko.ne.jp/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Grandvalira Resorts Andorra,https://www.grandvalira.com/themes/custom/grandvalira/logo.svg,logo,Official source: grandvalira.com,https://www.grandvalira.com/en?season-switch,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Granite Peak Resort,https://www.skigranitepeak.com/themes/custom/granitepeak/logo.svg,logo,Official source: skigranitepeak.com,https://www.skigranitepeak.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Hakuba 47 Winter Sports Park,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hakuba Cortina Snow Resort,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hakuba Happo-one Snow Resort,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hakuba Iwatake Snow Field,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hakuba Norikura Onsen Snow Resort,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hanazano,https://www.niseko.ne.jp/en/wp-content/themes/niseko2019_p2/images/logo.png,logo,Official source: niseko.ne.jp,https://www.niseko.ne.jp/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hasuike Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Heavenly,https://scene7.vailresorts.com/is/image/vailresorts/20230213_HV_McColm_019%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/west.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Hidden Valley Resort (PA),https://scene7.vailresorts.com/is/image/vailresorts/20190124_HVPA_Lewis_001%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/mid-atlantic.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Hidden Valley Ski Area (MO),https://scene7.vailresorts.com/is/image/vailresorts/20190125_HI_HiddenValleyPhotography_105%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/midwest.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Higashidateyama Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hintertux Glacier,https://www.zillertal.at/fileadmin/_processed_/0/b/csm_zillertal_logo_8b87d86818.png,logo,Official source: zillertal.at,https://www.zillertal.at/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hochfügen,https://www.zillertal.at/fileadmin/_processed_/0/b/csm_zillertal_logo_8b87d86818.png,logo,Official source: zillertal.at,https://www.zillertal.at/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hochzillertal,https://www.zillertal.at/fileadmin/_processed_/0/b/csm_zillertal_logo_8b87d86818.png,logo,Official source: zillertal.at,https://www.zillertal.at/en/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hoppo Bunadaira Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hotham,https://www.mthotham.com.au/Portals/_default/skins/hotham2025/dist/images/logo.svg,logo,Official source: mthotham.com.au,https://www.mthotham.com.au/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Hunter Mountain,https://scene7.vailresorts.com/is/image/vailresorts/20220217_HU_Fisher_002%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/northeast.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Ichinose Diamond Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Ichinose Family Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Ichinose Yamanokami Ski Area,https://www.shigakogen-ski.or.jp/assets/images/footer-logo.svg,logo,Official source: shigakogen-ski.or.jp,https://www.shigakogen-ski.or.jp/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Ischgl,https://www.ischgl.com/002_ISCHGL/WINTER/LANDSCHAFT/100214125/image-thumb__100214125__card-teaser-portrait/landschaft-ischgl-winter%20%2820%29.jpg,mountain_photo,Official source: ischgl.com,https://www.ischgl.com/en/winter,Official Ischgl winter landscape image from the resort page markup; replaces a close-up skier/face crop with a more descriptive mountain scenery image. No image file was downloaded.
Jack Frost,https://scene7.vailresorts.com/is/image/vailresorts/20210809_JF_Social_Phase3_ResortPassReduction_Carousel_Frame3_1080x1080%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/mid-atlantic.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Jackson Hole Mountain Resort,https://www.jacksonhole.com/images/jh-tapped-icon.png,logo,Official source: jacksonhole.com,https://www.jacksonhole.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Jigatake Snow Resort,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
June Mountain,https://www.junemountain.com/-/media/june/logos/june-tablet.svg?h=56&iar=0&w=177&rev=b77c47457b6649c1b518d34492897404&hash=660D7DD0354FA30DB065934EB53E222C,logo,Official source: junemountain.com,https://www.junemountain.com/,Chosen from the official resort/operator page in data/resorts.csv (JSON-LD logo); no image file was downloaded.
Kashimayari Snow Resort,https://www.hakubavalley.com/cms/wp-content/themes/hv_themes/common/img/logo-wht.svg,logo,Official source: hakubavalley.com,https://www.hakubavalley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Keystone,https://scene7.vailresorts.com/is/image/vailresorts/20230301_KY_Maguire_022%3AProduct-Cards-Landing?h=668&resMode=sharp2&w=1002,mountain_photo,Official source: Epic Pass / Vail Resorts,https://www.epicpass.com/regions/us/rockies.aspx,Official Epic Pass regional destination card image for this resort; used because the resort homepage returned a maintenance/bot-response page during automated research. No image file was downloaded.
Kicking Horse Mountain Resort,https://kickinghorseresort.com/wp-content/uploads/2016/08/logo-khmr-white-80x62.png,logo,Official source: kickinghorseresort.com,https://kickinghorseresort.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
Killington,https://killington.com/client_media/crops/Default.2f321155.1_17_24_powder_day_photos_killington_godwin_03.jpg,mountain_photo,Official source: Killington Resort,https://killington.com/,Updated to a verified official JPEG crop after browser testing showed the prior cached WebP derivative could fail/stale-render in the card. No image file was downloaded.
Kimberley Alpine Resort,https://skikimberley.com/wp-content/themes/kallyas-child/img/logo-kimberley-62x24.png,logo,Official source: skikimberley.com,https://skikimberley.com/,Chosen from the official resort/operator page in data/resorts.csv (site image element identified as logo/brand); no image file was downloaded.
